id,name,url,comment,muscle_group
134,Горизонтальная тяга в тренажере Хаммер широким хватом одной рукой,https://cloud.mail.ru/public/wzgQ/CPhWHEsPm,Оборудование: Горизонтальная тяга Хаммер,4
135,Тяга Ли Хейни в Смита,https://cloud.mail.ru/public/3NXD/R6ebYzZpR,Оборудование: Тр. Смита,4
136,"Подъем перед собой в кроссовере хватом ладонь в ладонь ",https://cloud.mail.ru/public/BzZU/9PRbtZ8KE,Оборудование: Кроссовер,4
137,Подъем перед собой в кроссовере с канатной рукоятью,https://cloud.mail.ru/public/q3cD/MoktmkJj4,Оборудование: Кроссовер,4
138,Подъем гантели перед собой хват ладонь в ладонь,https://cloud.mail.ru/public/Dxbg/9wko12gVT,Оборудование: Гантели,4
139,Подъем двух гателей перед собой нейтральным хватом,https://cloud.mail.ru/public/5yvW/8JyBAcTu6,Оборудование: Гантели,4
140,Подъем EZ -Штанги перед собой обратным хватом,https://cloud.mail.ru/public/H9Mc/Mgrff56ae,Оборудование: Штанга,4
141,Жим в кроссовере с нижнего блока,https://cloud.mail.ru/public/2UGm/cs7EwMfvh,Оборудование: Кроссовер,4
142,Подъем двух гателей перед собой обатным хватом,https://cloud.mail.ru/public/VjaK/misJwv9tD,Оборудование: Гантели,4
143,Поочередный подъем двух гателей перед собой,https://cloud.mail.ru/public/TeuG/Nf38oRSSK,Оборудование: Гантели,4
144,Жим гантелей на наклонной скамье параллельным хватом гантели прижаты друг к другу,https://cloud.mail.ru/public/LFjD/3K83Hn1zk,Оборудование: Гантели,8
145,Жим гантелей на горизонтальной скамье с супинацией,https://cloud.mail.ru/public/44sg/Bn1n8fG6F,Оборудование: Гантели,8
146,Жим гантелей на наклонной скамье с прпонацией,https://cloud.mail.ru/public/6Av4/twhbGFmDU,"Оборудование: Гантели
Гантели
Гантели
Гантели",8
147,"Жим штанги лёжа на горизонтальной скамье ",https://cloud.mail.ru/public/34Sw/aHFpJbXeM,Оборудование: Штанга,8
148,"Силовой жим штанги лёжа ",https://cloud.mail.ru/public/Yf6t/aYrfDjWkz,Оборудование: Штанга,8
149,Жим на горизонтальной скамье  в Смита,https://cloud.mail.ru/public/sLF7/e9cckFDjJ,Оборудование: Тр. Смита,8
150,Жим на наклонной скамье В Смита,https://cloud.mail.ru/public/UYa6/C1Vneiwyp,Оборудование: Тр. Смита,8
151,Жим в тренажере Хаммер на середину груди обеими руками,https://cloud.mail.ru/public/sK9U/iL722PL3d,Оборудование: Хаммер на середину груди,8
152,Жим в тренажере Хаммер на верх груди обеими руками,https://cloud.mail.ru/public/FRWX/vYkL6TjJB,Оборудование: Хаммер на верх груди,8
153,Жим в тренажере Хаммер на верх  груди одной,https://cloud.mail.ru/public/buUp/1MKv6w8Ym,Оборудование: Хаммер на верх груди,8
154,Отжимания от возвышения,https://cloud.mail.ru/public/291L/umQUq1cpe,Оборудование: С/в,8
155,Отжимания от упор,https://cloud.mail.ru/public/TPLf/nHd3MVoU9,Оборудование: Упоры для отжиманий,8
156,Отжимания с коленей,https://cloud.mail.ru/public/1ChC/zEjBptiqx,Оборудование: С/в,8
157,"Отжимания в петлях TRX ",https://cloud.mail.ru/public/kFgj/TSMxUh9Mr,Оборудование: TRX,8
158,Отжимания ноги впетлях TRX,https://cloud.mail.ru/public/1wKz/H3HfL8FWD,Оборудование: TRX,8
159,"Жим Свенда (Блин) ",https://cloud.mail.ru/public/hDX5/jSLLeZgRN,Оборудование: Блин,8
160,Дожимка в кроссовере,https://cloud.mail.ru/public/sqEh/NAjawC4cA,Оборудование: Кроссовер,8
161,Жим гантелей на наклонной скамье с супинациейклонной,https://cloud.mail.ru/public/tLb4/vLHoeQ39F,Оборудование: Гантели,8
162,Жим Свенда на наклонной скамье,https://cloud.mail.ru/public/Vr6v/fwAGoffrp,Оборудование: Блин,8
163,Отжимания от брусьев/в гравитроне,https://drive.google.com/file/d/1hyfuvFS8yhK_X728SSMwAy1GEwU0X5fj/view?usp=sharing,Оборудование: Гравитрон/Брусья,8
164,Жим гантелей на горизонтальной скамье,https://cloud.mail.ru/public/P3Ri/h28Cu4rRD,Оборудование: Гантели,8
165,Жим гантелей на наклонной скамье 30гр. /45 гр.,https://cloud.mail.ru/public/nWdq/qKoDf2X66,"Оборудование: Гантели
Гантели
Гантели
Гантели",8
166,Жим в тренажере Хаммер на верх груди поочерёдно,https://cloud.mail.ru/public/LYDB/iVNDpbWtP,Оборудование: Хаммер на верх груди,8
167,Жим штанги лёжа на наклонной скамье,https://cloud.mail.ru/public/gKvm/NdN8wg1HT,Оборудование: Штанга,8
168,Усложненные отжимания в петлях TRX,https://cloud.mail.ru/public/ZYHL/LT1M9WYmb,Оборудование: TRX,8
169,Сведение рук в кроссовере на низ груди (увеличенная амплитуда),https://cloud.mail.ru/public/SSNs/DgzgcVahV,Оборудование: Кроссовер,9
170,Сведение рук в кроссовере на середину груди (увеличенная амплитуда),https://cloud.mail.ru/public/yjV8/uSf6f1BsA,Оборудование: Кроссовер,9
171,Сведение рук в кроссовере на верх груди,https://cloud.mail.ru/public/y6hg/yybzQgEMw,Оборудование: Кроссовер,9
172,Сведение рук в кроссовере лёжа на наклонной скамье,https://cloud.mail.ru/public/pYyd/r6FNZ48Hv,Оборудование: Кроссовер,9
173,Сведение рук в кроссовере лёжа на горизонтальной скамье,https://cloud.mail.ru/public/BGTM/FMCJFqbLq,Оборудование: Кроссовер,9
174,Разводка гантелей на наклонной скамье,https://cloud.mail.ru/public/BVmc/E5YAHxNPt,Оборудование: Гантели,9
175,Сведение рук в кроссовере на середину груди,https://cloud.mail.ru/public/mMtR/m39q4dxni,Оборудование: Кроссовер,9
176,"Разводка гантелей на горизонтальной скамье ",https://cloud.mail.ru/public/UAKT/T1mZ1WCU1,Оборудование: Гантели,9
177,"Сведение рук в тренажере """"Бабочка""""",https://cloud.mail.ru/public/vznk/Mj1rkdxzy,Оборудование: Тр. Бабочка,9
178,"Приведение одной руки в тренажере """"бабочка""""",https://cloud.mail.ru/public/PK1P/WBbajQbjA,Оборудование: Тр. Бабочка,9
179,Сведение рук в петлях TRX,https://cloud.mail.ru/public/QRhn/Erkd9v9wp,Оборудование: TRX,9
